head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,,kargél,patmowtʻiwn,,,verb,common noun,,,open predication,,non_spec,3,,infinitive,,open predication non finita,
True,,canicʻes,čšmartowtʻiwn,,,verb,common noun,,,,,new,4,,subjunctive,,,
False,False,arkanel,xównk,ἔλαχε,ἱερατείας,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,acc_inf,0,1.0,infinitive,indicative,subordinata completiva non finita,subordinata completiva finita
True,True,cncʻi,ordi,γεννήσει,υἱόν,verb,common noun,verb,common noun,principale coordinata,subordinata avverbiale coordinata,non_spec,0,0.0,subjunctive,indicative,principale coordinata finita,subordinata avverbiale coordinata finita
True,True,kočʻescʻes,anown,καλέσεις,ὄνομα,verb,common noun,verb,common noun,principale coordinata,subordinata avverbiale coordinata,non_spec,2,2.0,subjunctive,indicative,principale coordinata finita,subordinata avverbiale coordinata finita
True,True,darjowcʻanel,sirts,ἐπιστρέψαι,καρδίας,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,non_spec,2,1.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,patrastel,žołovowrd,ἑτοιμάσαι,λαὸν,verb,common noun,verb,common noun,open predication,open predication in coordinazione,non_spec,1,1.0,infinitive,infinitive,open predication non finita,open predication in coordinazione non finita
True,True,gitacʻicʻ,ayd,γνώσομαι,τοῦτο,verb,demonstrative pronoun,verb,demonstrative pronoun,principale,principale,old,1,0.0,subjunctive,indicative,principale finita,principale finita
False,,et,Patasxani,ἀποκριθεὶς,,verb,common noun,verb,,principale coordinata,open predication,new,0,,indicative,participle,principale coordinata finita,open predication non finita
True,True,awetaranel,ayd,εὐαγγελίσασθαί,ταῦτα,verb,demonstrative pronoun,verb,demonstrative pronoun,open predication in coordinazione,open predication in coordinazione,old,1,0.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
False,,ownēr,ákn,προσδοκῶν,,verb,common noun,verb,,principale coordinata,open predication,acc_inf,0,,indicative,participle,principale coordinata finita,open predication non finita
False,False,etes,tesil,ἑώρακεν,ὀπτασίαν,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,non_spec,0,0.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,tʻakʻowcʻanḗr,anjn,περιέκρυβεν,ἑαυτὴν,verb,common noun,verb,personal reflexive pronoun,principale coordinata,principale,old,1,0.0,indicative,indicative,principale coordinata finita,principale finita
False,,gorceacʻ,gorc,πεποίηκεν,,verb,common noun,verb,,principale,principale,acc_inf,1,,indicative,indicative,principale finita,principale finita
True,True,bar̄nal,naxatins,ἀφελεῖν,ὄνειδός,verb,common noun,verb,common noun,open predication,open predication,new,2,2.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,gter,šnorhs,εὗρες,χάριν,verb,common noun,verb,common noun,,principale,new,0,1.0,indicative,indicative,,principale finita
True,True,cncʻes,ordi,τέξῃ,υἱόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec,0,0.0,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,True,kočʻescʻes,anown,καλέσεις,ὄνομα,verb,common noun,verb,common noun,principale coordinata,principale coordinata,non_spec,2,2.0,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,,tacʻḗ,atʻor̄,,,verb,common noun,,,principale coordinata,,new,3,,subjunctive,,principale coordinata finita,
False,False,gitem,ayr,γινώσκω,ἄνδρα,verb,common noun,verb,common noun,,,non_spec,1,0.0,indicative,indicative,,
False,,et,Patasxani,ἀποκριθεὶς,,verb,common noun,verb,,principale coordinata,open predication,new,0,,indicative,participle,principale coordinata finita,open predication non finita
False,,licʻi,hovani,ἐπισκιάσει,,verb,common noun,verb,,principale coordinata,principale coordinata,acc_inf,0,,subjunctive,indicative,principale coordinata finita,principale coordinata finita
True,,et,ołǰóyn,,ἠσπάσατο,verb,common noun,,verb,principale coordinata,,new,0,2.0,indicative,,principale coordinata finita,
True,True,lowaw,ołǰoyn,ἤκουσεν,ἀσπασμὸν,verb,common noun,verb,common noun,,,old,3,2.0,indicative,indicative,,
True,True,mecacʻowscʻḗ,Tēr,μεγαλύνει,κύριον,verb,common noun,verb,common noun,principale,principale coordinata,acc_gen,1,1.0,subjunctive,indicative,principale finita,principale coordinata finita
True,True,Arár,zawrowtʻiwn,ἐποίησεν,κράτος,verb,common noun,verb,common noun,principale,principale,acc_gen,0,0.0,indicative,indicative,principale finita,principale finita
True,True,yišel,ołormowtʻiwns,μνησθῆναι,ἐλέους,verb,common noun,verb,common noun,open predication,open predication,acc_gen,1,1.0,infinitive,infinitive,open predication non finita,open predication non finita
