head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,gasaiƕaina,waurstwa,ἴδωσιν,ἔργα,verb,common noun,verb,common noun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,new,2,3.0,optative,subjunctive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
True,True,hauhjaina,attan,δοξάσωσιν,πατέρα,verb,common noun,verb,common noun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,old,2,3.0,optative,subjunctive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
True,True,laisjai,mans,διδάξῃ,ἀνθρώπους,verb,common noun,verb,common noun,relativa soggettiva coordinata,relativa soggettiva coordinata,old,0,1.0,optative,subjunctive,relativa soggettiva coordinata finita,relativa soggettiva coordinata finita
True,True,bairais,aibr,προσφέρῃς,δῶρόν,verb,common noun,verb,common noun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,new,1,2.0,optative,subjunctive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
True,True,habaiþ,ƕa,ἔχει,τι,verb,indefinite pronoun,verb,interrogative pronoun,subordinata completiva,subordinata completiva,non_spec,1,1.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,aflet,giba,ἄφες,δῶρόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,2,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,atbair,giba,πρόσφερε,δῶρόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,2,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,False,atgibai,þuk,παραδῷ,σε,verb,personal pronoun,verb,personal pronoun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,old,0,0.0,optative,subjunctive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
False,,atgibai,þuk,,,verb,personal pronoun,,,subordinata avverbiale coordinata,,,0,,optative,,subordinata avverbiale coordinata finita,
True,True,usgibis,kintu,ἀποδῷς,κοδράντην,verb,common noun,verb,common noun,subordinata completiva,,acc_inf,2,2.0,indicative,subjunctive,subordinata completiva finita,
