head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,остави,даръ,ἄφες,δῶρόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,принеси,даръ,πρόσφερε,δῶρόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,False,прѣдастъ,тебе,παραδῷ,σε,verb,personal pronoun,verb,personal pronoun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,old,0,0.0,indicative,subjunctive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
False,,прѣдастъ,тѧ,,,verb,personal pronoun,,,subordinata avverbiale coordinata,,old,0,,indicative,,subordinata avverbiale coordinata finita,
True,,въвръжетъ,тѧ,βληθήσῃ,,verb,personal pronoun,verb,,subordinata avverbiale coordinata,subordinata avverbiale coordinata,old,0,,indicative,indicative,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata finita
True,True,въздаси,кодрантъ,ἀποδῷς,κοδράντην,verb,common noun,verb,common noun,,,acc_inf,1,2.0,indicative,subjunctive,,
False,False,сътвориши,прѣлюбꙑ,μοιχεύσεις,μοιχεύσεις,verb,common noun,verb,verb,principale,principale,non_spec,0,1.0,indicative,indicative,principale finita,principale finita
False,False,сътвори,любꙑ,ἐμοίχευσεν,ἐμοίχευσεν,verb,common noun,verb,verb,subordinata completiva,subordinata completiva,non_spec,0,4.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,съблажнаатъ,тѧ,σκανδαλίζει,σε,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,indicative,indicative,,
True,True,ꙇзьми,е,ἔξελε,αὐτὸν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,съблажнаатъ,тѧ,σκανδαλίζει,σε,verb,personal pronoun,verb,personal pronoun,,,old,0,0.0,indicative,indicative,,
True,True,оусѣци,ѭ,ἔκκοψον,αὐτὴν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,поуститъ,женѫ,ἀπολύσῃ,γυναῖκα,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,non_spec,1,2.0,indicative,subjunctive,relativa soggettiva finita,relativa soggettiva finita
True,True,дастъ,кънигꙑ,δότω,ἀποστάσιον,verb,common noun,verb,common noun,principale,principale,non_spec,1,0.0,indicative,imperative,principale finita,principale finita
True,True,поуштаѩи,женѫ,ἀπολύων,γυναῖκα,verb,common noun,verb,common noun,relativa soggettiva,relativa soggettiva,non_spec,1,2.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,творитъ,ѭ,ποιεῖ,αὐτὴν,verb,personal pronoun,verb,personal pronoun,subordinata completiva coordinata,subordinata completiva coordinata,non_spec_old,0,0.0,indicative,indicative,subordinata completiva coordinata finita,subordinata completiva coordinata finita
False,False,дѣати,прѣлюбꙑ,μοιχευθῆναι,μοιχευθῆναι,verb,common noun,verb,verb,open predication,subordinata completiva,non_spec,0,1.0,infinitive,infinitive,open predication non finita,subordinata completiva non finita
False,False,поемлетъ,подъпѣгѫ,γαμήσῃ,ἀπολελυμένην,verb,common noun,verb,verb,relativa soggettiva,relativa soggettiva,non_spec,0,0.0,indicative,subjunctive,relativa soggettiva finita,relativa soggettiva finita
False,False,творитъ,прѣлюбꙑ,μοιχᾶται,μοιχᾶται,verb,common noun,verb,verb,subordinata completiva coordinata,subordinata completiva coordinata,non_spec,0,1.0,indicative,indicative,subordinata completiva coordinata finita,subordinata completiva coordinata finita
True,True,въздаси,клѧтвꙑ,ἀποδώσεις,ὅρκους,verb,common noun,verb,common noun,principale,principale,new,1,2.0,indicative,indicative,principale finita,principale finita
